querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
642,acrobat reader,3183,168,460,2,1,0,1.3862944,0.0564774,6.1312265,6.8934783,11
643,alaska air,3749,168,477,2,0,1,2.8903718,0.04498887,6.1675165,7.8406709,4
644,american airline,2813,168,356,2,1,0,1.0986123,0.06305436,5.8749307,7.8595506,4
645,applebees,7402,168,1114,1,0,0,2.1972246,0.01298546,7.0157124,6.6382406,1
646,charter,10103,168,1686,1,0,0,2.1972246,0.0089406,7.4301141,5.9869514,11
647,career builder,15380,166,2048,2,0,0,2.1972246,0.00949105,7.624619,7.5087891,10
648,dogs,11077,166,1602,1,0,0,1.7917595,0.01458345,7.3790081,6.9082397,12
649,u tube,16414,166,2986,2,0,0,1.0986123,0.00760704,8.00169,5.4943068,15
650,career builders,2528,165,337,2,0,0,0.69314718,0.03703754,5.8200829,7.4510386,10
651,footlocker,4438,165,689,1,1,0,3.5553481,0.04090526,6.5352413,6.4339623,17
652,nick games,10724,165,1356,2,0,0,0,0.0149853,7.2122945,7.8938053,5
653,checker auto par,1651,164,244,3,0,0,3.1354942,0.08245492,5.4971682,6.7336066,2
654,craiglist,25896,164,3992,1,0,0,2.0794415,0.00904583,8.2920476,6.4854709,10
655,curtains,2363,164,298,1,0,0,3.4011974,0.04262491,5.6970935,7.8557047,13
656,access my aol ma,7386,163,1816,4,0,0,1.3862944,0.00515097,7.5043916,4.0605727,11
657,apple computers,2374,163,298,2,1,0,3.3672958,0.0583578,5.6970935,7.9328859,11
658,apple ipod,4176,163,528,2,1,0,3.3322045,0.04035562,6.2690963,7.8863636,11
659,check aol email,2578,163,539,3,0,0,1.0986123,0.01506225,6.2897156,4.7439703,11
660,alamo,3739,162,474,1,1,0,2.3025851,0.0653903,6.1612073,7.8755274,2
661,consumer report,3216,162,411,2,0,0,4.6634391,0.05434434,6.0185932,7.8248175,9
662,patio furniture,2074,162,265,2,0,0,3.5263605,0.08026863,5.5797298,7.7773585,13
663,barnes and noble,2156,161,570,3,0,1,3.5835189,0.0900008,6.3456364,3.7719298,19
664,coach purses,2293,161,284,2,1,0,4.0073332,0.058639,5.6489742,7.9964789,17
665,david's bridal,4086,161,599,2,1,0,3.1354942,0.02592355,6.3952616,6.8080134,16
666,pnc bank,9253,161,1545,2,0,0,3.0910425,0.01759353,7.3427792,5.981877,9
667,thyroid,2402,161,305,1,0,0,0,0.06036203,5.7203118,7.8229508,12
668,nike shoes,2938,160,374,2,1,0,4.0073332,0.05011871,5.9242558,7.8235294,17
669,office furniture,2643,160,332,2,0,0,3.5835189,0.06423222,5.805135,7.9066265,13
670,party city,9779,160,1414,2,0,0,2.8903718,0.02011459,7.2541778,6.9052334,16
671,qvc,25344,160,10090,1,0,0,3.3322045,0.0066627,9.2193001,2.5112983,8
672,used books,2388,160,301,2,0,0,4.3567088,0.04925171,5.7071103,7.8870432,19
673,blockbuster vide,3717,159,555,2,1,0,3.2580965,0.05893187,6.3189681,6.6738739,3
674,california dmv,5599,159,736,2,0,1,1.6094379,0.03371261,6.6012301,7.5964674,7
675,free clipart,2640,159,386,2,0,0,0,0.04660033,5.9558374,6.8160622,6
676,thesaurus,8153,159,2000,1,1,0,2.0794415,0.01744128,7.6009025,4.075,6
677,verizon dsl,3627,159,460,2,1,0,3.7135721,0.04295756,6.1312265,7.8652174,11
678,rosetta stone,2528,158,320,2,0,0,2.3025851,0.06231886,5.768321,7.8625,6
679,emule,2062,157,407,1,0,0,0,0.07787803,6.0088132,5.02457,11
680,lotto,5120,157,857,1,0,0,2.0794415,0.01887911,6.7534379,5.9544924,0
681,lyme disease,3130,157,394,2,0,1,0.69314718,0.05046452,5.9763509,7.9111675,12
